timestamp,num_sensors,num_points,num_trials_per_point,algorithm,time_mean_s,time_std_s
2026-03-03 11:28:42,6,141,1,LM,0.0164284808510638,0.0149745445147849
2026-03-03 11:28:42,6,141,1,ELM,0.0351594971631206,0.0480636996191809
2026-03-03 11:28:42,6,141,1,OURS,0.00256313475177305,0.00161346883669874
2026-03-03 11:28:42,6,141,1,FISCHER,0.12974699787234,0.038011187884318
2026-03-03 11:28:42,6,141,1,RLM,0.015652619858156,0.00812252024100912
2026-03-03 11:28:42,6,141,1,SCA,0.000820392907801418,0.00183308503546209
2026-03-03 11:28:42,6,141,1,SSL,0.00174220709219858,0.000671756410745676
2026-03-03 11:28:42,6,141,1,RGD,0.0054178914893617,0.00462985408442533
2026-03-03 11:35:53,6,141,1,LM,0.016133895035461,0.0165148517487889
2026-03-03 11:35:53,6,141,1,ELM,0.0361036609929078,0.0495469249356676
2026-03-03 11:35:53,6,141,1,OURS,0.00224624255319149,0.000880433475237709
2026-03-03 11:35:53,6,141,1,FISCHER,0.136673731205674,0.0389434714830816
2026-03-03 11:35:53,6,141,1,RLM,0.0155556156028369,0.00963042898063428
2026-03-03 11:35:53,6,141,1,SCA,0.000585708510638298,0.000676950037245772
2026-03-03 11:35:53,6,141,1,SSL,0.00198028156028369,0.000808904703516943
2026-03-03 11:35:53,6,141,1,RGD,0.00554879574468085,0.00572535570248537
